adres,baslik,fiyat,ilan_no,ilan_tarihi,kilometre,kimden,marka,model,model_yili,motor_gucu,motor_hacmi,varyant,vites_tipi,yakit_turu
İstanbul / Eyüp / Rami,GEZEGENDEN ELMA ŞEKERİ VADE TAKAS OLUR Mercedes - Benz A Serisi A 170 CDI Elegance,77.000 TL,#997401,24/01/2021,210.0,Galeriden,Mercedes,A Serisi,1999,Bilmiyorum,1300 cc ve altı,A 170 CDI Elegance,Düz Vites,Dizel
İstanbul / Bağcılar / Bağcılar,DS CAR DAN 2014 MODEL A180 BENZİN OTOMATİK URBAN Mercedes - Benz A Serisi A 180 Urban,227.750 TL,#1554343,24/01/2021,58.0,Galeriden,Mercedes,A Serisi,2014,Bilmiyorum,1301-1600 cc,A 180 Urban,Yarı Otomatik Vites,Benzin
İstanbul,TAKSİM MOTORS-2020 A180d AMG TEKNO PAK.COMMAND-CAMTVN-TOUCH PAD Mercedes - Benz A Serisi A 180 d AMG,489.950 TL,#3637724,24/01/2021,5.4,Galeriden,Mercedes,A Serisi,2020,Bilmiyorum,1301-1600 cc,A 180 d AMG,Yarı Otomatik Vites,Dizel
İstanbul,TAKSİM MOTORS-2020 A180d AMG-TEKNO PAK.COMMAND-CAMTVN-TOUCH PAD Mercedes - Benz A Serisi A 180 d AMG,488.950 TL,#1447231,24/01/2021,9.85,Galeriden,Mercedes,A Serisi,2020,Bilmiyorum,1301-1600 cc,A 180 d AMG,Yarı Otomatik Vites,Dizel
İstanbul / Esenyurt,XENON 36000KM CAM TAVAN SERVİS BAKIMLI DERİ DÖŞEME Mercedes - Benz A Serisi A 180 d Style,331.000 TL,#4717081,24/01/2021,36.0,Galeriden,Mercedes,A Serisi,2017,Bilmiyorum,1300 cc ve altı,Diğer,Yarı Otomatik Vites,Dizel
Ordu / Merkez / Merkez,A180 AMG SPORT CAM TAVAN GERİ GÖRÜŞ ÇARPIŞMA ÖNLEYİCİ SERVİS BAK Mercedes - Benz A Serisi A 180 AMG Sport,269.000 TL,#3419788,24/01/2021,119.0,Galeriden,Mercedes,A Serisi,2014,Bilmiyorum,1301-1600 cc,A 180 AMG Sport,Yarı Otomatik Vites,Benzin
İstanbul / Büyükçekmece / Büyükçekmece,AKDENİZ AUTO 2016 MERCEDES A 180 D AMG 7G-DCT MAKYAJLI YENİ KASA Mercedes - Benz A Serisi A 180 d AMG,282.000 TL,#1454413,24/01/2021,124.473,Galeriden,Mercedes,A Serisi,2016,Bilmiyorum,1301-1600 cc,A 180 d AMG,Yarı Otomatik Vites,Dizel
İstanbul / Esenler / Atışalanı,-BAYRAM AUTO-2016 A 180 CDI URBAN 49 KM DE CAM TAVAN-XENON-FULL Mercedes - Benz A Serisi A 180 CDI BlueEfficiency Urban,289.000 TL,#2792836,27/12/2020,49.0,Galeriden,Mercedes,A Serisi,2016,Bilmiyorum,1301-1600 cc,A 180 CDI BlueEfficiency Urban,Yarı Otomatik Vites,Dizel
Adana / Seyhan / Yeşiloba,EROĞLU 0.KM 2020 MERCEDES A180d SEDAN CAMTAVAN DERİ XENON LED Mercedes - Benz A Serisi A 180 d Style,460.000 TL,#3596841,27/12/2020,0.0,Galeriden,Mercedes,A Serisi,2020,Bilmiyorum,1301-1600 cc,Diğer,Yarı Otomatik Vites,Dizel
İstanbul / Bağcılar / Bağcılar,2016 MERCEDES A180 CDI HATASIZ BOYASIZ 18 KDV DAHİL FATURALI Mercedes - Benz A Serisi A 180 d Style,276.500 TL,#2266073,27/12/2020,70.0,Galeriden,Mercedes,A Serisi,2016,Bilmiyorum,1300 cc ve altı,Diğer,Yarı Otomatik Vites,Dizel
İstanbul / Beykoz,NİSA DAN 2014 MODEL MERCEDES A 180 CAM TAVAN Mercedes - Benz A Serisi A 180 CDI BlueEfficiency Style,219.750 TL,#4233401,27/12/2020,196.0,Galeriden,Mercedes,A Serisi,2014,Bilmiyorum,1301-1600 cc,A 180 CDI BlueEfficiency Style,Yarı Otomatik Vites,Dizel
İzmir,UĞUROTO 2017 MERCEDES-BENZ A 200 AMG CAM TAVAN BOYASIZ 40.000 KM Mercedes - Benz A Serisi A 200 BlueEfficiency AMG,322.500 TL,#1255275,27/12/2020,40.0,Galeriden,Mercedes,A Serisi,2017,Bilmiyorum,1301-1600 cc,A 200 BlueEfficiency AMG,Yarı Otomatik Vites,Benzin
İstanbul / Maltepe / Merkez,2003 Makyajlı Kasa Mercedes Benz A 160 Long Avantgarde Otomatik Mercedes - Benz A Serisi A 160 Avantgarde,91.900 TL,#4621426,31/12/2020,155.0,Galeriden,Mercedes,A Serisi,2003,Bilmiyorum,1301-1600 cc,A 160 Avantgarde,Yarı Otomatik Vites,Benzin
İstanbul / Avcılar,CİVAN 2015 MERCEDES-BENZ A180 CDI AMG C.TAV-BOYASIZ-18 -HATASIZ Mercedes - Benz A Serisi A 180 CDI BlueEfficiency AMG,296.950 TL,#3628952,06/01/2021,76.0,Galeriden,Mercedes,A Serisi,2015,Bilmiyorum,1301-1600 cc,A 180 CDI BlueEfficiency AMG,Yarı Otomatik Vites,Dizel
İstanbul / Tuzla / Merkez,2018 MERCEDES A180 d AMG 7G-DCT 34.000 KM TEMİZ BAKIMLI Mercedes - Benz A Serisi A 180 d AMG,389.000 TL,#1895178,06/01/2021,34.0,Galeriden,Mercedes,A Serisi,2018,Bilmiyorum,1301-1600 cc,A 180 d AMG,Yarı Otomatik Vites,Dizel
Bursa / Osmangazi,VATANSEVER OTO 2018 MERCEDES A180 d 7G-DCT AMG 32.000KM HATASIZ Mercedes - Benz A Serisi A 180 d AMG,435.000 TL,#2500313,06/01/2021,32.0,Galeriden,Mercedes,A Serisi,2018,Bilmiyorum,1301-1600 cc,A 180 d AMG,Yarı Otomatik Vites,Dizel
Düzce,JET KUZENLERDEN 2015 OTOMATİK Mercedes - Benz A Serisi A 180 CDI BlueEfficiency Style,235.000 TL,#1813388,06/01/2021,145.0,Galeriden,Mercedes,A Serisi,2015,Bilmiyorum,1301-1600 cc,A 180 CDI BlueEfficiency Style,Yarı Otomatik Vites,Dizel
İstanbul / Esenler / Atışalanı,-BAYRAM AUTO-2016 MERCEDES-BENZ A 180 CDI STYLE EMSALSİZ 47.KM Mercedes - Benz A Serisi A 180 CDI BlueEfficiency Style,269.900 TL,#1321005,06/01/2021,47.0,Galeriden,Mercedes,A Serisi,2016,Bilmiyorum,1301-1600 cc,A 180 CDI BlueEfficiency Style,Yarı Otomatik Vites,Dizel
İstanbul / Bağcılar / Bağcılar,BURAKLAR DAN MERCEDES-BENZ A 180 AMG SPORT OTOMATİK Mercedes - Benz A Serisi A 180 AMG Sport,237.500 TL,#2242165,06/01/2021,107.87,Galeriden,Mercedes,A Serisi,2013,Bilmiyorum,1301-1600 cc,A 180 AMG Sport,Yarı Otomatik Vites,Benzin
Ankara / Yenimahalle / Yenimahalle,RIDVAN DEMİR DEN 2014 MERCEDES A180 CDİ URBAN CAM TAVAN HATASIZ Mercedes - Benz A Serisi A 180 CDI BlueEfficiency Urban,298.000 TL,#4701800,06/01/2021,42.0,Galeriden,Mercedes,A Serisi,2014,Bilmiyorum,1301-1600 cc,A 180 CDI BlueEfficiency Urban,Yarı Otomatik Vites,Dizel
Aydın / Söke / Söke,DEĞİŞENSİZ TERTERMİZ DİZEL MERCEDES KOLTUK ISITMA,64.000 TL,#1794601,08/01/2021,279.0,Sahibinden,Mercedes,A Serisi,2001,76-100 BG,1601-1800 cc,A 170 CDI Classic,Düz Vites,Dizel
İstanbul / Bağcılar / Mahmutbey,2015 MERCEDES-BENZ A 180 CDI BLUEEFFICIENCY STYLE 109 HP 7G-DCT MERCEDES - BENZ A SERISI A 180 CDI BLUEEFFICIENCY STYLE,237.500 TL,#4613577,12/01/2021,61.0,Galeriden,Mercedes,A Serisi,2015,Bilmiyorum,1301-1600 cc,A 180 CDI BlueEfficiency Style,Yarı Otomatik Vites,Dizel
İstanbul / Esenyurt,2014 MODEL CAM TAVAN XENON 94000km OTOMATİK Mercedes - Benz A Serisi A 180 Urban,246.000 TL,#4339808,24/01/2021,96.0,Galeriden,Mercedes,A Serisi,2014,Bilmiyorum,1301-1600 cc,A 180 Urban,Yarı Otomatik Vites,Benzin
İstanbul / Beykoz / Beykoz,GARAGE 2015 MERCEDES A180 cdi AMG CAMTAVAN PARKASİST GERİGÖRÜŞ Mercedes - Benz A Serisi A 180 CDI BlueEfficiency AMG,303.000 TL,#2664789,24/01/2021,60.0,Galeriden,Mercedes,A Serisi,2015,Bilmiyorum,1301-1600 cc,A 180 CDI BlueEfficiency AMG,Yarı Otomatik Vites,Dizel
İstanbul / Kadıköy / Göztepe,2018 A 180d AMG PANORAMİK G.GÖRÜŞ CRUISE MBUX F1 BOYASIZ Mercedes - Benz A Serisi A 180 d AMG,416.000 TL,#3136448,24/01/2021,41.728,Galeriden,Mercedes,A Serisi,2018,Bilmiyorum,1301-1600 cc,A 180 d AMG,Yarı Otomatik Vites,Dizel
İstanbul / Kadıköy / Göztepe,2012 MERCEDES A 200 AMG 7G-DCT PANORAMİK GERİGÖRÜŞ CRUISE Mercedes - Benz A Serisi A 200 BlueEfficiency AMG,274.500 TL,#3937323,24/01/2021,104.26899999999999,Galeriden,Mercedes,A Serisi,2012,Bilmiyorum,1301-1600 cc,A 200 BlueEfficiency AMG,Yarı Otomatik Vites,Benzin
İstanbul / Maltepe / Merkez,CLEAN CAR 2012 HATASIZ MERCEDES-BENZ A 180 STYLE Mercedes - Benz A Serisi A 180 Style,225.500 TL,#972395,24/01/2021,169.0,Galeriden,Mercedes,A Serisi,2012,Bilmiyorum,1300 cc ve altı,A 180 Style,Yarı Otomatik Vites,Benzin
Antalya / Kumluca / Merkez,2012 MERCEDES-BENZ A 180 CDI PRİME ÇELİK JANT 59.000KM DE Mercedes - Benz A Serisi A 180 CDI BlueEfficiency Prime,205.000 TL,#4426758,24/01/2021,59.0,Galeriden,Mercedes,A Serisi,2012,Bilmiyorum,1301-1600 cc,A 180 CDI BlueEfficiency Prime,Düz Vites,Dizel
İstanbul / Tuzla / Merkez,2017-37.000 KM de MERCEDES A180d STYLE DERİ KOLTUK GERİ GÖRÜŞ Mercedes - Benz A Serisi A 180 CDI BlueEfficiency Style,308.450 TL,#3040671,24/01/2021,37.0,Galeriden,Mercedes,A Serisi,2017,Bilmiyorum,1301-1600 cc,A 180 CDI BlueEfficiency Style,Yarı Otomatik Vites,Dizel
Adana / Seyhan / Yeşiloba,EROĞLU 2018 A180d AMG YENİ KASA HAYALET CAMTAVAN SESLİ KOMUT Mercedes - Benz A Serisi A 180 d AMG,385.000 TL,#3661532,05/02/2021,88.0,Galeriden,Mercedes,A Serisi,2018,Bilmiyorum,1301-1600 cc,A 180 d AMG,Yarı Otomatik Vites,Dizel
İstanbul / Ataşehir / Küçükbakkalköy,2018 çıkış A180d AMG 35000km YENİ NESİL FULL FULL Mercedes - Benz A Serisi A 180 d AMG,314.900 TL,#2927148,05/02/2021,35.0,Galeriden,Mercedes,A Serisi,2017,Bilmiyorum,1301-1600 cc,A 180 d AMG,Yarı Otomatik Vites,Dizel
Gaziantep / Şehitkamil / Merkez,CAM TAVAN HATASIZZ YILDIZ 113 KM ORJİNALL Mercedes - Benz A Serisi A 180 CDI BlueEfficiency Style,207.000 TL,#2937328,05/02/2021,113.0,Galeriden,Mercedes,A Serisi,2012,Bilmiyorum,1301-1600 cc,A 180 CDI BlueEfficiency Style,Düz Vites,Dizel
İstanbul / Kadıköy / Göztepe,2012 MERCEDES A 200 AMG 7G-DCT PANORAMİK GERİGÖRÜŞ CRUISE Mercedes - Benz A Serisi A 200 BlueEfficiency AMG,270.000 TL,#4245732,15/02/2021,104.26899999999999,Galeriden,Mercedes,A Serisi,2012,Bilmiyorum,1301-1600 cc,A 200 BlueEfficiency AMG,Yarı Otomatik Vites,Benzin
Kocaeli / Gebze / Gebze,2015 MERSEDES A180 CDI URBAN 75 BEND KM DE SERVIS BAKIMLI,206.500 TL,#4481770,12/03/2021,75.0,Sahibinden,Mercedes,A Serisi,2015,101-125 BG,1301-1600 cc,A 180 CDI BlueEfficiency Urban,Yarı Otomatik Vites,Dizel
İzmir / Menderes / Menderes,DÜŞÜK KM ÇOK TEMIZ MASRAFSIZ,125.000 TL,#1654224,15/03/2021,93.8,Sahibinden,Mercedes,A Serisi,2005,76-100 BG,1301-1600 cc,A 150 Avantgarde,Düz Vites,Benzin
Kocaeli,METSAN OTOMOTİV DEN HATASIZ 2016 MODEL MERCEDES BENZ A 180 Mercedes - Benz A Serisi A 180 d AMG,285.000 TL,#3704596,21/03/2021,138.0,Galeriden,Mercedes,A Serisi,2016,Bilmiyorum,1301-1600 cc,A 180 d AMG,Yarı Otomatik Vites,Dizel
İstanbul / Esenyurt,64000km KOLTUK ISITMA SERVİS BAKIMLI DERİ DÖŞEME XENON Mercedes - Benz B Serisi B 180 BlueEfficiency Sport,231.000 TL,#3388748,15/02/2021,64.7,Galeriden,Mercedes,B Serisi,2013,Bilmiyorum,1301-1600 cc,B 180 BlueEfficiency Sport,Yarı Otomatik Vites,Benzin
Ankara / Keçiören / Merkez,2006 SADECE 93 BİNDE MERCEDES B150 OTOMATİK KAZASIZ. Mercedes - Benz B Serisi B 150 Special Edition,137.500 TL,#923364,15/02/2021,93.0,Galeriden,Mercedes,B Serisi,2006,Bilmiyorum,1301-1600 cc,B 150 Special Edition,Yarı Otomatik Vites,Benzin
Mersin,Mega Otomotiv. 2014 Mercedes B 180 URBAN CAM TAVAN 0.99 KREDİ Mercedes - Benz B Serisi B 180 BlueEfficiency Urban,271.750 TL,#1585995,15/02/2021,49.0,Galeriden,Mercedes,B Serisi,2014,Bilmiyorum,1301-1600 cc,B 180 BlueEfficiency Urban,Yarı Otomatik Vites,Benzin
İstanbul / Eyüp / Eyüp,EMRECAN MOTORLU ARAÇLAR DAN B 180 ELİTE OTOMATİK 113.000 KM Mercedes - Benz B Serisi B 180 BlueEfficiency Elite,229.800 TL,#821834,15/02/2021,113.0,Galeriden,Mercedes,B Serisi,2012,Bilmiyorum,1300 cc ve altı,B 180 BlueEfficiency Elite,Otomatik Vites,Benzin
Mersin / Yenişehir / Merkez,BAYAN ÖĞRETMEN DEN 2011 MERCEDES B160 SPORT,136.000 TL,#4416465,23/02/2021,144.0,Sahibinden,Mercedes,B Serisi,2011,100 BG ve altı,1301-1600 cc,B 160 Sport,Otomatik Vites,Benzin/LPG
Konya / Karatay / Karatay,BURAK OTOMOTİV ORJİNAL İLK EL SERVİS BAKIMLI B180D STYLE,252.000 TL,#3620114,15/03/2021,103.0,Galeriden,Mercedes,B Serisi,2016,101-125 BG,1301-1600 cc,B 180 CDI BlueEfficiency Style,Yarı Otomatik Vites,Dizel
İstanbul / Kadıköy / Göztepe,2014 MERCEDES-BENZ B 180 STYLE ORJİNAL 65.000 KM DE Mercedes - Benz B Serisi B 180 BlueEfficiency Style,239.750 TL,#364595,21/03/2021,65.0,Galeriden,Mercedes,B Serisi,2014,Bilmiyorum,1301-1600 cc,B 180 BlueEfficiency Style,Yarı Otomatik Vites,Benzin
Ankara / Akyurt,AKMAN DAN 2012 MERCEDES-BENZ B180 SPORT Mercedes - Benz B Serisi B 180 BlueEfficiency Sport,198.000 TL,#4094086,21/03/2021,204.0,Galeriden,Mercedes,B Serisi,2012,Bilmiyorum,1301-1600 cc,B 180 BlueEfficiency Sport,Otomatik Vites,Benzin
,2015 B180 1.6 122HP URBAN CAM TAVAN 74.000KM Mercedes - Benz B Serisi B 180 BlueEfficiency Urban,253.500 TL,#4769259,21/03/2021,74.0,Galeriden,Mercedes,B Serisi,2015,Bilmiyorum,1301-1600 cc,B 180 BlueEfficiency Urban,Yarı Otomatik Vites,Benzin
İstanbul / Bağcılar / Bağcılar,DS CAR DAN 2014 MODEL MERCEDES B-180 AİLE ARABASI ÇOK TEMİZ Mercedes - Benz B Serisi B 180 BlueEfficiency Sport,256.750 TL,#4767718,21/03/2021,115.0,Galeriden,Mercedes,B Serisi,2014,Bilmiyorum,1301-1600 cc,B 180 BlueEfficiency Sport,Yarı Otomatik Vites,Benzin
Gaziantep / Şehitkamil / Merkez,AYYILDIZ AUTO B180 MERCEDES BOYASIZ HATASIZ KM 65 BİN Mercedes - Benz B Serisi B 180 BlueEfficiency Sport,268.000 TL,#1465485,21/03/2021,65.0,Galeriden,Mercedes,B Serisi,2012,Bilmiyorum,1301-1600 cc,B 180 BlueEfficiency Sport,Otomatik Vites,Benzin
İstanbul / Esenler / Esenler,GÖKBAY Auto dan 2010 B160 Sport otomatik 165bin km de ORJİNAL Mercedes - Benz B Serisi B 160 Sport,149.950 TL,#3124696,21/03/2021,165.0,Galeriden,Mercedes,B Serisi,2010,Bilmiyorum,1301-1600 cc,B 160 Sport,Yarı Otomatik Vites,Benzin
İstanbul / Maltepe / Merkez,İLKELDEN YETKİLİ SERVİSBAKIMLI SON BAKIMLARI YAPILMIŞ TERTEMİZ Mercedes - Benz B Serisi B 180 CDI BlueEfficiency Style,218.950 TL,#990015,21/03/2021,190.0,Galeriden,Mercedes,B Serisi,2016,Bilmiyorum,1301-1600 cc,B 180 CDI BlueEfficiency Style,Yarı Otomatik Vites,Dizel
Ankara / Akyurt / Akyurt,ATASOY MOTORS DAN 2009 MERCEDES B150 HATASIZ Mercedes - Benz B Serisi B 150 Special Edition,155.250 TL,#4409945,21/03/2021,165.0,Galeriden,Mercedes,B Serisi,2009,Bilmiyorum,1301-1600 cc,B 150 Special Edition,Yarı Otomatik Vites,Benzin/LPG
İstanbul / Sancaktepe / Eyüpsultan,ÇETİNERLER OTO DAN B 180 CDI STYLE OTOMATİK 64.000 KM Mercedes - Benz B Serisi B 180 CDI BlueEfficiency Style,257.500 TL,#3730637,21/03/2021,64.0,Galeriden,Mercedes,B Serisi,2017,Bilmiyorum,1301-1600 cc,B 180 CDI BlueEfficiency Style,Yarı Otomatik Vites,Dizel
Adana / Seyhan / Yeşiloba,EROĞLU 2013 MERCEDES B180 ELİTE BOYASIZ TRAMERSİZ CAMTAVAN DERİ Mercedes - Benz B Serisi B 180 BlueEfficiency Elite,222.000 TL,#4471026,21/03/2021,110.0,Galeriden,Mercedes,B Serisi,2013,Bilmiyorum,1301-1600 cc,B 180 BlueEfficiency Elite,Yarı Otomatik Vites,Benzin
Ankara / Keçiören / Merkez,2006 SADECE 93 BİNDE MERCEDES B150 OTOMATİK KAZASIZ. Mercedes - Benz B Serisi B 150 Special Edition,141.500 TL,#1438932,24/01/2021,93.0,Galeriden,Mercedes,B Serisi,2006,Bilmiyorum,1301-1600 cc,B 150 Special Edition,Yarı Otomatik Vites,Benzin
Ankara / Akyurt / Köyler,ROCCO MOTORS 2015 MAKYAJLI B 180 CDİ HATASIZ BOYASIZ CAM TAVAN Mercedes - Benz B Serisi B 180 CDI BlueEfficiency Urban,284.000 TL,#921187,24/01/2021,90.0,Galeriden,Mercedes,B Serisi,2015,Bilmiyorum,1301-1600 cc,B 180 CDI BlueEfficiency Urban,Yarı Otomatik Vites,Dizel
İstanbul / Ümraniye / Merkez,ORİJİNAL 44.600 KM - CAM TAVAN - OTOMATİK VİTES - SORUNSUZ B150 Mercedes - Benz B Serisi B 150 Special Edition,159.900 TL,#1638516,24/01/2021,44.6,Galeriden,Mercedes,B Serisi,2009,Bilmiyorum,1301-1600 cc,B 150 Special Edition,Yarı Otomatik Vites,Benzin
Mersin,Mega Otomotiv. 2014 Mercedes B 180 URBAN CAM TAVAN 0.99 KREDİ Mercedes - Benz B Serisi B 180 BlueEfficiency Urban,271.750 TL,#583973,24/01/2021,49.0,Galeriden,Mercedes,B Serisi,2014,Bilmiyorum,1301-1600 cc,B 180 BlueEfficiency Urban,Yarı Otomatik Vites,Benzin
Erzurum / Yakutiye / Yakutiye,Hatasız boyasız 85000 kmde Mercedes - Benz B Serisi B 180 BlueEfficiency Prime,188.900 TL,#1033786,24/01/2021,85.0,Galeriden,Mercedes,B Serisi,2012,Bilmiyorum,1301-1600 cc,B 180 BlueEfficiency Prime,Düz Vites,Benzin
İstanbul / Bağcılar / Bağcılar,2007 MERCEDES B 150 BOYUT TAM OTOMATİK VİTES 139.000 KM Mercedes - Benz B Serisi B 150 Boyut,126.750 TL,#1344350,24/01/2021,139.0,Galeriden,Mercedes,B Serisi,2007,Bilmiyorum,1301-1600 cc,B 150 Boyut,Otomatik Vites,Benzin/LPG
Diyarbakır / Yenişehir / Merkez,BARIŞ AUTO GÜVENCESİYLE MERCEDES-BENZ B 150 Mercedes - Benz B Serisi B 150 Special Edition,135.000 TL,#3566746,05/02/2021,196.0,Galeriden,Mercedes,B Serisi,2007,Bilmiyorum,1301-1600 cc,B 150 Special Edition,Yarı Otomatik Vites,Benzin
İstanbul / Sancaktepe / Eyüpsultan,BATUHAN DAN 2015 B 180 BLUE EFFICIENCY ELİTE 7G-DCT Mercedes - Benz B Serisi B 180 BlueEfficiency Elite,276.500 TL,#3730340,26/01/2021,57.5,Galeriden,Mercedes,B Serisi,2015,Bilmiyorum,1301-1600 cc,B 180 BlueEfficiency Elite,Yarı Otomatik Vites,Benzin
İstanbul / Üsküdar / Merkez,KIRCA OTOMOTİV 2008 MODEL MERCEDES B150 OTOMATİK VİTES Mercedes - Benz B Serisi B 150 150,114.500 TL,#4332046,05/02/2021,275.0,Galeriden,Mercedes,B Serisi,2008,Bilmiyorum,1301-1600 cc,B 150 150,Yarı Otomatik Vites,Benzin/LPG
,2015 B180 1.6 122HP URBAN CAM TAVAN 74.000KM Mercedes - Benz B Serisi B 180 BlueEfficiency Urban,253.500 TL,#4492778,05/02/2021,74.0,Galeriden,Mercedes,B Serisi,2015,Bilmiyorum,1301-1600 cc,B 180 BlueEfficiency Urban,Yarı Otomatik Vites,Benzin
Ankara / Çankaya / Balgat,CEMautomotive-71.000 TL PEŞİNAT İLE-KREDİN HAZIR Mercedes - Benz B Serisi B 180 CDI BlueEfficiency Style,236.500 TL,#4367498,05/02/2021,114.0,Galeriden,Mercedes,B Serisi,2014,Bilmiyorum,1301-1600 cc,B 180 CDI BlueEfficiency Style,Yarı Otomatik Vites,Dizel
İstanbul / Üsküdar / Libadiye,GÖLOVADAN...MERCEDES B 180...PRİME...OTOMATİK 7 İLERİ..109 KM.. Mercedes - Benz B Serisi B 180 BlueEfficiency Prime,205.000 TL,#4392913,05/02/2021,109.757,Galeriden,Mercedes,B Serisi,2012,Bilmiyorum,1301-1600 cc,B 180 BlueEfficiency Prime,Yarı Otomatik Vites,Benzin
İstanbul / Bağcılar / Bağcılar,2011 MERCEDES B 160 SPORT OTM VİTES SERVİS BAKIMLI ORJİNAL Mercedes - Benz B Serisi B 160 Sport,166.900 TL,#4770216,05/02/2021,90.0,Galeriden,Mercedes,B Serisi,2011,Bilmiyorum,1301-1600 cc,B 160 Sport,Yarı Otomatik Vites,Benzin
İstanbul / Esenyurt / Esenyurt,ASTANA MOTORS 2015 ÇIKIŞLI B 180 BlueEFFICIENCY Style 7G-DCT Mercedes - Benz B Serisi B 180 BlueEfficiency Style,199.900 TL,#2901319,05/02/2021,86.0,Galeriden,Mercedes,B Serisi,2014,Bilmiyorum,1301-1600 cc,B 180 BlueEfficiency Style,Yarı Otomatik Vites,Benzin
İstanbul / Maltepe / Merkez,GENÇ OTOMOTİV DİZEL OTOMATİK İLKELDEN YETKİLİ SERVİS BAKIMLI Mercedes - Benz B Serisi B 180 CDI BlueEfficiency Style,219.950 TL,#2938339,05/02/2021,190.0,Galeriden,Mercedes,B Serisi,2016,Bilmiyorum,1301-1600 cc,B 180 CDI BlueEfficiency Style,Yarı Otomatik Vites,Dizel
İzmir / Konak / Alsancak,2012 HATASIZ BOYASIZ ELİTE PAKET OTOMATİK VİTES KREDİ İMKANI Mercedes - Benz B Serisi B 180 BlueEfficiency Elite,208.000 TL,#984469,05/02/2021,130.0,Galeriden,Mercedes,B Serisi,2012,Bilmiyorum,1300 cc ve altı,B 180 BlueEfficiency Elite,Otomatik Vites,Benzin
Bursa / Nilüfer / Merkez,2013 MODEL MERCEDES B180 SPORT BEJ DERİ DÖŞEME Mercedes - Benz B Serisi B 180 BlueEfficiency Sport,209.900 TL,#4742552,08/02/2021,93.0,Galeriden,Mercedes,B Serisi,2013,Bilmiyorum,1301-1600 cc,B 180 BlueEfficiency Sport,Otomatik Vites,Benzin
İstanbul / Maltepe / Merkez,2015 MODEL DEĞİŞENSİZ AMG TERTEMİZ B-180 CDİ Mercedes - Benz B Serisi B 180 CDI AMG,264.900 TL,#684622,05/02/2021,165.0,Galeriden,Mercedes,B Serisi,2015,Bilmiyorum,1301-1600 cc,B 180 CDI AMG,Yarı Otomatik Vites,Dizel
İstanbul / Kadıköy / Göztepe,KUZENLER HONDA DAN 2014 MERCEDES B 180 SPORT CAM TAVANLI HATASIZ Mercedes - Benz B Serisi B 180 CDI BlueEfficiency Sport,262.500 TL,#4577933,15/02/2021,131.0,Galeriden,Mercedes,B Serisi,2014,Bilmiyorum,1301-1600 cc,B 180 CDI BlueEfficiency Sport,Yarı Otomatik Vites,Dizel
Ankara / Çankaya / Cebeci,2015 MERCEDES B180 CDİ-HATASIZ BOYASIZ-OTOMATİK-CAM TAVAN-76.000 Mercedes - Benz B Serisi B 180 CDI BlueEfficiency Style,276.500 TL,#4482856,21/03/2021,76.0,Galeriden,Mercedes,B Serisi,2015,Bilmiyorum,1300 cc ve altı,B 180 CDI BlueEfficiency Style,Otomatik Vites,Dizel
Mersin,Mega Otomotiv. 2014 Mercedes B 180 URBAN CAM TAVAN 0.99 KREDİ Mercedes - Benz B Serisi B 180 BlueEfficiency Urban,271.750 TL,#1858085,21/03/2021,49.0,Galeriden,Mercedes,B Serisi,2014,Bilmiyorum,1301-1600 cc,B 180 BlueEfficiency Urban,Yarı Otomatik Vites,Benzin
İstanbul / Kadıköy / Bostancı,SCLASS 2012 B180 7G-TRONIK SPOR PAKET CAM TAVAN Mercedes - Benz B Serisi B 180 BlueEfficiency Sport,240.000 TL,#4250440,21/03/2021,118.0,Galeriden,Mercedes,B Serisi,2012,Bilmiyorum,1301-1600 cc,B 180 BlueEfficiency Sport,Otomatik Vites,Benzin
Bursa / Nilüfer / Merkez,C 200 d BLUETEC HATASIZ BOYASIZ TRAMERSİZ Mercedes - Benz C Serisi C 200 d BlueTEC AMG,389.900 TL,#3429705,21/03/2021,83.0,Galeriden,Mercedes,C,2015,Bilmiyorum,1301-1600 cc,Diğer,Otomatik Vites,Dizel
Konya / Karatay / Karatay,1994 MERCEDES BENZ C200 ELEGANCE OTOMATİK VİTES CAM TAVANLI Mercedes - Benz C Serisi C 200 Elegance,62.500 TL,#1910298,21/03/2021,386.0,Galeriden,Mercedes,C,1994,Bilmiyorum,1300 cc ve altı,C 200 Elegance,Otomatik Vites,Benzin/LPG
İstanbul / Ataşehir / İçerenköy,ist.ELİT MOTOR dan 2014 MERCEDES C180 EXCLUSİVE FULL ORJİNAL Mercedes - Benz C Serisi C 180 Exclusive,396.750 TL,#2083021,21/03/2021,140.0,Galeriden,Mercedes,C,2014,Bilmiyorum,1301-1600 cc,C 180 Exclusive,Yarı Otomatik Vites,Benzin
,ORAS DAN 2018 MODEL MERCEDES C200 D RECORE KOLTUK AMG 38 000 KM Mercedes - Benz C Serisi C 200 d BlueTEC AMG,479.900 TL,#2761315,21/03/2021,38.0,Galeriden,Mercedes,C,2018,Bilmiyorum,1301-1600 cc,Diğer,Otomatik Vites,Dizel
İstanbul / Ataşehir / Ataşehir,Caretta dan 2014 Servis Bakımlı Panoramik C 180 AMG 7G-Tronic Mercedes - Benz C Serisi C 180 AMG 7G-Tronic,370.900 TL,#3182617,21/03/2021,140.0,Galeriden,Mercedes,C,2014,Bilmiyorum,1301-1600 cc,C 180 AMG 7G-Tronic,Otomatik Vites,Benzin
